commit	val_bpb	memory_gb	status	description	delta	strategy	rationale
c110667	1.178985	22.6	keep	baseline unmodified train.py	0.000	BASELINE	first run; reference val_bpb and peak VRAM
cad1441	1.138365	11.4	keep	torch.compile(model) dynamic=False	0.000	GUARD	δ=0<S; incremental throughput; lower val_bpb vs baseline
f406ad7	1.116216	22.3	keep	DEVICE_BATCH_SIZE 64 (grad_accum 4)	0.000	GUARD	δ=0; higher micro-batch; val_bpb improved vs cad1441
65a8aae	1.110823	22.3	keep	MATRIX_LR 0.04 to 0.045	0.000	GUARD	δ=0; Muon LR nudge; val_bpb improved vs f406ad7
c120c7e	1.754134	22.3	discard	EMBEDDING_LR 0.6 to 0.63	0.000	GUARD	δ=0 before run; run completed but mfu~1.5pct and val_bpb far worse vs 65a8aae (discard)
25d2000	1.199927	22.6	discard	Hopper-only full compile; DEVICE_BATCH_SIZE 32 (VRAM leak)	0.160	GUARD	δ=0.16; val_bpb worse vs 65a8aae; train wall 330s>300s budget
c84249f	1.119064	22.3	discard	MATRIX_LR 0.045 to 0.046	0.266	GUARD	δ<θ_guard; val_bpb worse vs 1.110823; training_seconds 355s>300s budget
2815301	1.156993	22.3	discard	compact hyperparams + one-line param counts	0.343	SIMPLIFY	θ_guard≤δ≤θ_break; no compute change; val_bpb worse vs 1.110823; train wall 302s>300s
078acd4	1.245528	22.6	discard	condense logging; Hopper-only compile; micro-batch 32/accum8	0.400	SIMPLIFY	δ=0.40 mid-band SIMPLIFY; OOM fixes for 5090; val_bpb worse vs 65a8aae 1.110823; training_seconds 300.0
b7977f5	0.000000	0.0	crash	condensed SDPA + torch.compile(dynamic=True) off Hopper	0.445	SIMPLIFY	δ≈0.445 SIMPLIFY; CUDA OOM during inductor first step on RTX 5090 SDPA; reverted to 65a8aae
2467a29	1.148831	22.5	discard	SwiGLU MLP (8/3 hidden) replaces ReLU^2 FFN	0.480	BREAK	SIMPLIFY escape after 3x SIMPLIFY fail; δ=0.48; val_bpb worse vs 65a8aae 1.110823
992dd44	0.000000	0.0	crash	SIMPLIFY WINDOW_PATTERN L + DEVICE_BATCH_SIZE 32	0.639	SIMPLIFY	CUDA OOM in torch.compile inductor during forward; full-seq attention on SM12
0be1c4c	0.000000	0.0	crash	FA3-only torch.compile(model); eager SDPA path	0.793	BREAK	δ>θ_break; OOM ~32GB PyTorch at batch 64 without full compile on SM12
13dc412	1.107293	22.3	keep	RoPE inverse-frequency base 50k (vs 10k)	0.920	BREAK	δ>θ_break; val_bpb improved vs 65a8aae; training_seconds 377.9 (above nominal 300s budget)
b956385	1.158452	21.4	discard	GQA n_kv_head half of n_head	0.881	BREAK	δ>θ_break; attention GQA; val_bpb worse vs best 1.107293; training_seconds 300.9
f28b350	1.111096	22.3	discard	RoPE base 100k (from 50k)	0.881	BREAK	δ>θ_break; val_bpb worse vs best 1.107293; training_seconds 367.2
7bdfce8	1.145133	24.3	discard	FFN inner expansion 4x→5x (GPTConfig.ffn_mult)	0.881	BREAK	δ>θ_break; val_bpb worse vs 13dc412 1.107293; training_seconds 321.6>300s budget
c92f3a7	1.181409	22.3	discard	TOTAL_BATCH_SIZE 2^19→2^20 (grad_accum 8)	0.881	BREAK	δ>θ_break; val_bpb worse vs 1.107293; training_seconds 357.0>300s budget
f29a92e	1.100677	22.3	keep	global grad clip L2 norm 1.0 before optimizer step	0.881	BREAK	δ>θ_break; val_bpb improved vs best 1.107293; training_seconds 381.5
6bdd872	0.000000	0.0	crash	MLP ReLU^2 to GELU(tanh approx) BREAK	0.775	BREAK	δ>θ_break; CUDA OOM in inductor during first fwd (SM12/5090); graph change
04f4634	0.000000	0.0	crash	logits softcap 15->20 BREAK	0.775	BREAK	δ>θ_break; inductor OOM on recompile (same SM12); avoid forward edits next
06f21fa	0.000000	0.0	crash	MATRIX_LR+WEIGHT_DECAY tweak no-forward-edit	0.775	BREAK	δ>θ_break; still inductor OOM — any train.py edit retriggers full model compile on SM12
e4824ab	0.000000	0.0	crash	skip torch.compile on non-Hopper GPT	0.775	BREAK	eager fwd OOM; root cause was concurrent python PID hogging ~25GB — killed before retry
d5e379c	1.108458	22.3	discard	Muon MATRIX_LR 0.046 WEIGHT_DECAY 0.15	0.920	BREAK	δ>θ_break; val_bpb worse vs 1.100677; training_seconds 362.2>300s; GPU cleared before run
523e217	1.134669	22.3	discard	FINAL_LR_FRAC 0->0.05 warmdown floor	0.920	BREAK	δ>θ_break; val_bpb much worse vs 1.100677; training_seconds 324.5
4aadaed	1.129598	22.3	discard	WARMDOWN_RATIO 0.40 + Muon momentum ramp step/200	0.835	BREAK	δ>θ_break; schedule BREAK; val_bpb worse vs 1.100677; training_seconds 300.4
2bfcaa4	1.207545	22.3	discard	ADAM_BETAS beta1 0.80 to 0.85 (AdamW groups)	0.836	BREAK	δ>θ_break; val_bpb worse vs best 1.100677; training_seconds 300.3
eab34a8	1.118634	22.3	discard	RoPE inverse-frequency base 50k to 60k	0.836	BREAK	δ>θ_break; val_bpb worse vs best 1.100677; training_seconds 300.8
b5c5330	1.331410	22.3	discard	WARMUP 5pct + Muon WD 0.175 + wall-dt clamp	0.720	BREAK	δ=0.72>θ_break; val_bpb worse vs 1.100677; training_seconds 352.6
50359dd	1.898896	22.3	discard	dt clamp 1e-6 undercounts wall time (WSL)	1.000	BREAK	δ=1.0; time budget accounting broken; training_seconds 393.2; use min dt 1ms
081ce63	1.885510	22.3	discard	RoPE base 45k BREAK probe	1.000	BREAK	δ=1.0>θ_break; val_bpb far worse vs 1.100677; training_seconds 394.1>300s periodic ~128s compile dt spikes
8547173	1.682211	22.3	discard	WARMDOWN_RATIO 0.42 longer full-LR plateau	1.000	BREAK	δ=1.0; val_bpb worse vs 1.100677; training_seconds 300.5
a6a29ce	1.498108	22.3	discard	Adam beta1 0.82	1.000	BREAK	δ=1.0; val_bpb worse vs 1.100677; training_seconds 309.8>300s
74e1c17	1.384701	22.3	discard	logits softcap 12 vs 15	1.000	BREAK	δ=1.0; val_bpb worse vs 1.100677; training_seconds 324.2>300s
1c56e31	1.686654	22.3	discard	ADAM_BETAS beta2 0.95 to 0.98	1.000	BREAK	δ=1.0>θ_break; val_bpb worse vs best 1.100677; training_seconds 415.9>300s WSL compile spikes
8bf0abc	1.778619	22.3	discard	Muon momentum ramp step/300 to step/150	1.000	BREAK	δ=1.0>θ_break; val_bpb worse vs best 1.100677; training_seconds 300.5
02b63bd	1.733027	22.3	discard	WEIGHT_DECAY 0.2 to 0.18	1.000	BREAK	δ=1.0>θ_break; val_bpb worse vs best 1.100677; training_seconds 419.2>300s
57205c1	1.098844	22.3	keep	perf_counter for step dt (WSL monotonic)	1.000	BREAK	δ=1.0>θ_break; fixes spurious 1ms dt after compile; val_bpb improved vs best 1.100677; training_seconds 300.1
107d8f6	1.518673	26.3	discard	cross-entropy label smoothing 0.05	0.893	BREAK	δ≈0.89>θ_break; objective BREAK; val_bpb worse vs 1.098844; training_seconds 302.1s
e4078b0	1.098272	22.3	keep	RoPE inverse-frequency base 50k to 52k	0.893	BREAK	δ≈0.89>θ_break; val_bpb improved vs 1.098844; training_seconds 300.1
bdb663c	1.097640	22.3	keep	Muon momentum ramp step/300 to step/400	0.819	BREAK	δ≈0.82>θ_break; val_bpb improved vs 1.098272; training_seconds 300.1
83a5771	1.102420	19.9	discard	DEPTH 8→7 (512-dim model, more steps)	0.820	BREAK	δ≈0.82>θ_break; val_bpb worse vs best 1.097640; training_seconds 300.3; reset to bdb663c
3d61471	1.893352	30.7	discard	DEPTH 8→9 (640-dim, ~81M params)	0.820	BREAK	δ≈0.82>θ_break; val_bpb catastrophic vs 1.097640; training_seconds 324.2>300s; peak VRAM high; reset bdb663c
eab0dbe	1.108094	24.9	discard	HEAD_DIM 128→96 (576-dim width)	0.820	BREAK	δ≈0.82>θ_break; val_bpb worse vs 1.097640; training_seconds 300.2; reset bdb663c
edd8052	1.097296	22.3	keep	RoPE inverse-frequency base 52000 to 53500	0.740	BREAK	δ=0.740>θ_break(0.7); val_bpb improved vs best 1.097640; training_seconds 300.1
91b6d49	1.096922	22.3	keep	compact hyperparameter block; same numeric hparams	0.530	SIMPLIFY	θ_guard≤δ≤θ_break (S=RR=0.5 est); −8 LOC; val_bpb improved vs 1.097296; training_seconds 300.8
bcd4140	1.097380	22.3	discard	SIMPLIFY shorten module header and section banners	0.500	SIMPLIFY	θ_guard≤δ≤θ_break; val_bpb worse vs best 1.096922; training_seconds 300.8; reset 91b6d49
bfbfbea	1.144916	22.3	discard	SIMPLIFY one-line polar_express_coeffs (same values)	0.588	SIMPLIFY	δ mid-band; val_bpb worse vs best 1.096922; training_seconds 304.8>300s; reset 91b6d49
84522d4	1.144916	22.3	discard	SIMPLIFY strip comments/docstrings (no numeric change)	0.668	SIMPLIFY	δ mid-band; val_bpb worse vs best 1.096922; num_steps 264 vs ~950 historical (throughput); reset 91b6d49
291a15d	1.097212	22.3	discard	RoPE base 53500 to 54200 (SIMPLIFY escape BREAK)	0.668	BREAK	SIMPLIFY escape after 3x SIMPLIFY discard; val_bpb worse vs best 1.096922; training_seconds 300.2; reset 91b6d49
