commit	val_bpb	memory_gb	status	description
154a63f	1.263888	22.6	keep	baseline
be5e774	1.166651	22.6	keep	WINDOW_PATTERN L (full attention all layers)
f747cd8	1.154733	22.6	keep	EMBEDDING_LR 0.6->0.75 (with WINDOW_PATTERN L)
6de5a1b	1.801284	22.6	discard	MATRIX_LR 0.04->0.05 (worse val_bpb vs f747cd8)
92f9aa5	1.801284	22.6	discard	WEIGHT_DECAY 0.2->0.15 (no improvement vs best 1.154733)
3b82faa	1.092322	11.4	keep	re-enable torch.compile on full model (Blackwell throughput)
2b2b700	1.279768	11.4	discard	FINAL_LR_FRAC 0.1 warmdown floor (worse vs 3b82faa)
e479cdc	1.116106	11.4	discard	WARMDOWN_RATIO 0.5->0.35 (worse val_bpb vs 3b82faa 1.092322)
c590ec3	1.159484	11.4	discard	WARMUP_RATIO 0.05 (worse vs 3b82faa)
7382c30	1.146942	11.4	discard	UNEMBEDDING_LR 0.004->0.006 (worse vs 3b82faa)
c9dd8e2	1.108546	11.4	discard	softcap 15->20 (worse vs 3b82faa)
20e49ab	1.148341	11.4	discard	MATRIX_LR 0.04->0.035 (worse vs best 1.092322)
bf7ae08	1.148341	11.4	discard	WEIGHT_DECAY 0.2->0.18 (worse vs best 1.092322)
065c5ad	1.148341	11.4	discard	EMBEDDING_LR 0.75->0.65 (same/worse val vs best 1.092322)
f6222e5	1.158958	22.3	discard	DEVICE_BATCH_SIZE 32->64 (worse val_bpb vs best 3b82faa 1.092322)
d1d82e3	1.166890	11.4	discard	MLP ReLU^2 -> SiLU (worse val_bpb vs best 3b82faa 1.092322)
231d7a1	1.147905	11.0	discard	GQA n_kv_head=n_head//2 (worse val_bpb vs best 3b82faa 1.092322)
8c6e453	1.181647	15.8	discard	DEPTH 9 + ASPECT_RATIO 57 (d_model=512; slower steps, worse val_bpb vs 3b82faa)
c948b69	1.161642	11.5	discard	HEAD_DIM 128->64 (8 heads; worse val_bpb vs best 3b82faa 1.092322)
360e0dd	0.000000	0.0	crash	residual dropout 0.1 under torch.compile: CUDA OOM mid-train (32GB)
ecb7553	2.840311	11.4	discard	TIE_EMBEDDINGS wte/lm_head (+ retie after to_empty); much worse val_bpb vs 3b82faa
85ced27	0.000000	0.0	crash	MAX_GRAD_NORM clip before step + torch.compile: CUDA OOM mid-train
f0bd9ae	0.000000	0.0	crash	train-only label smoothing: self.training in compiled forward -> CUDA OOM
aa52128	1.121374	11.4	discard	MATRIX_LR 0.04->0.042 (worse val_bpb vs best 3b82faa 1.092322)
8dc7164	1.133760	11.4	discard	MATRIX_LR 0.04->0.038 (worse vs best 3b82faa 1.092322)
88690ca	1.133760	11.4	discard	UNEMBEDDING_LR 0.004->0.0035 (worse vs best 3b82faa 1.092322)
787a7ef	1.133760	11.4	discard	Muon momentum ramp 300->150 steps (worse vs best 3b82faa 1.092322)
8acc11f	1.123318	10.2	discard	DEPTH 8->7 (worse vs best 3b82faa 1.092322)
6d18435	1.135562	11.4	discard	Muon ns_steps 5->7 (worse vs best 3b82faa 1.092322)
474d4b4	1.147036	11.4	discard	x0_lambdas init 0.1->0.12 (worse vs best 3b82faa 1.092322)
08723e9	1.139263	11.4	discard	logits softcap 15->12 (worse vs best 3b82faa 1.092322)
2dcc032	1.107004	11.4	discard	TOTAL_BATCH_SIZE halved 2**19->2**18 (worse vs best 1.092322)
20106a6	1.136349	11.4	discard	EMBEDDING_LR 0.75->0.80 (worse vs best 1.092322)
09f0ac3	1.143928	11.4	discard	RoPE rotary base 10000->8000 (worse vs best 1.092322)
7585b7c	1.164408	11.4	discard	TOTAL_BATCH_SIZE 2**19->2**20 (worse vs best 1.092322)
6837cda	1.112160	11.4	discard	cosine warmdown + FINAL_LR_FRAC 0.05 + stdout line-buffer (worse vs best 3b82faa 1.092322)
00db9c8	1.128230	11.4	discard	RoPE base 50000 (worse vs best 3b82faa 1.092322)
fbcca8d	1.268629	11.4	discard	Adam beta1 0.8->0.82 (much worse vs best 3b82faa 1.092322)
f8b4983	1.092627	11.4	discard	EMBEDDING_LR 0.75->0.73 (slightly worse val_bpb vs best 3b82faa 1.092322)
ce8973a	1.110427	11.4	discard	Adam beta2 0.95->0.98 (worse val_bpb vs best 3b82faa 1.092322)
dfe6999	1.146662	11.4	discard	Muon momentum ramp 300->450 steps (worse val_bpb vs best 3b82faa 1.092322)
618a152	1.143736	11.4	discard	UNEMBEDDING_LR 0.004->0.0045 (worse val_bpb vs best 3b82faa 1.092322)
025b7ab	0.000000	0.0	crash	ASPECT_RATIO 65 -> n_head=5 dynamo/torch.compile error on first forward (reverted)
2a76030	1.143024	9.0	discard	ASPECT_RATIO 88 + DEVICE_BATCH_SIZE 16 (768d); worse val_bpb vs best 3b82faa 1.092322
44e23cc	1.132074	11.4	discard	EMBEDDING_LR 0.75->0.76 (worse val_bpb vs best 3b82faa 1.092322)
667c0c4	1.145378	11.4	discard	RoPE base 10000->11000 (worse val_bpb vs best 3b82faa 1.092322)
f790f1b	1.140484	11.4	discard	WARMDOWN_RATIO 0.5->0.6 (worse val_bpb vs best 3b82faa 1.092322)
1212a25	1.140180	11.4	discard	torch.backends.cudnn.benchmark True (worse val_bpb vs best 3b82faa 1.092322)
4b425df	1.104980	11.4	discard	Adam beta1 0.8->0.79 (worse val_bpb vs best 3b82faa 1.092322)
cb1cda4	1.140723	11.4	discard	x0_lambdas init 0.1->0.09 (worse val_bpb vs best 3b82faa 1.092322)
8e6367f	1.094766	11.4	discard	EMBEDDING_LR 0.75->0.74 (worse val_bpb vs best 3b82faa 1.092322)
e89b039	1.136259	11.4	discard	Adam eps 1e-10->1e-8 for AdamW groups (worse vs best 3b82faa 1.092322)
47793cd	1.101858	11.4	discard	Muon Polar Express ns_steps 5->4 (worse vs best 3b82faa 1.092322)
995903d	1.143208	11.4	discard	RoPE base 9500 + GPTConfig.rope_base (worse val_bpb vs best 3b82faa 1.092322)
5ef259b	1.105557	11.4	discard	FINAL_LR_FRAC 0.02 micro warmdown floor (worse vs best 3b82faa 1.092322)
da23a1f	1.105557	11.4	discard	Adam beta1 0.8->0.805 (worse vs best 3b82faa 1.092322; full 300s run)
0ec7169	1.141587	11.4	discard	SCALAR_LR 0.5->0.55 (worse val_bpb vs best 3b82faa 1.092322)
69a7065	1.141587	11.4	discard	WARMDOWN_RATIO 0.5->0.48 (worse val_bpb vs best 3b82faa 1.092322)
